feature_1,feature_2,pearson_r,abs_r
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),0.9765908847149718,0.9765908847149718
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),0.9764108615957816,0.9764108615957816
Griffith_Park_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),0.9734559056304046,0.9734559056304046
Griffith_Park_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),0.9730574193791619,0.9730574193791619
Griffith_Park_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),0.972645566636267,0.972645566636267
Griffith_Observatory_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),0.9716969359161967,0.9716969359161967
Getty_Center_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),0.9711789014553317,0.9711789014553317
LAX_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),0.9652009545643951,0.9652009545643951
avg_landmark_distance_z,Hollywood_Walk_of_Fame_Median_Distance_June_(KM),0.9643714144411661,0.9643714144411661
centrality_index,Hollywood_Walk_of_Fame_Median_Distance_June_(KM),-0.9643714144411661,0.9643714144411661
centrality_index,Madame_Tussauds_Median_Distance_June_(KM),-0.9635060395519197,0.9635060395519197
avg_landmark_distance_z,Madame_Tussauds_Median_Distance_June_(KM),0.9635060395519197,0.9635060395519197
avg_landmark_distance_z,TCL_Chinese_Theater_Median_Distance_June_(KM),0.9632854407026072,0.9632854407026072
centrality_index,TCL_Chinese_Theater_Median_Distance_June_(KM),-0.9632854407026072,0.9632854407026072
avg_landmark_distance_z,California_Science_Center_Median_Distance_June_(KM),0.9630090433925622,0.9630090433925622
centrality_index,California_Science_Center_Median_Distance_June_(KM),-0.9630090433925622,0.9630090433925622
avg_landmark_distance_z,Crypto_Arena_Median_Distance_June_(KM),0.9577047679196523,0.9577047679196523
centrality_index,Crypto_Arena_Median_Distance_June_(KM),-0.9577047679196523,0.9577047679196523
La_Brea_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),0.9518955328868584,0.9518955328868584
Venice_Beach_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),0.9438114308353761,0.9438114308353761
Hollywood_Sign_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),0.9425799136775427,0.9425799136775427
La_Brea_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),0.9396124421896909,0.9396124421896909
centrality_index,Walt_Disney_Concert_Hall_Median_Distance_June_(KM),-0.9377044102579088,0.9377044102579088
avg_landmark_distance_z,Walt_Disney_Concert_Hall_Median_Distance_June_(KM),0.9377044102579088,0.9377044102579088
centrality_index,Griffith_Observatory_Median_Distance_June_(KM),-0.9371971536840387,0.9371971536840387
avg_landmark_distance_z,Griffith_Observatory_Median_Distance_June_(KM),0.9371971536840387,0.9371971536840387
La_Brea_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),0.9338611858766165,0.9338611858766165
California_Science_Center_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),0.9335569738091404,0.9335569738091404
Crypto_Arena_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),0.9332818250269858,0.9332818250269858
LAX_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),0.9306798392580234,0.9306798392580234
centrality_index,Venice_Beach_Median_Distance_June_(KM),-0.9296245060336066,0.9296245060336066
avg_landmark_distance_z,Venice_Beach_Median_Distance_June_(KM),0.9296245060336066,0.9296245060336066
Venice_Beach_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),0.9281648698934424,0.9281648698934424
La_Brea_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),0.9249307945999342,0.9249307945999342
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),0.9240899853129133,0.9240899853129133
Griffith_Park_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),0.9238504517512358,0.9238504517512358
Madame_Tussauds_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),0.922227175958237,0.922227175958237
TCL_Chinese_Theater_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),0.9216225503390969,0.9216225503390969
centrality_index,LAX_Median_Distance_June_(KM),-0.9214374255405756,0.9214374255405756
avg_landmark_distance_z,LAX_Median_Distance_June_(KM),0.9214374255405756,0.9214374255405756
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),0.9201728445323645,0.9201728445323645
Getty_Center_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),0.9200362817106716,0.9200362817106716
Crypto_Arena_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),0.9188194320263571,0.9188194320263571
avg_landmark_distance_z,Hollywood_Sign_Median_Distance_June_(KM),0.9166197814895393,0.9166197814895393
centrality_index,Hollywood_Sign_Median_Distance_June_(KM),-0.9166197814895393,0.9166197814895393
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),0.9155030773030407,0.9155030773030407
centrality_index,Santa_Monica_Pier_Median_Distance_June_(KM),-0.9151626044282676,0.9151626044282676
avg_landmark_distance_z,Santa_Monica_Pier_Median_Distance_June_(KM),0.9151626044282676,0.9151626044282676
Count_Fire_Stations,external_amenities_index,0.9133598637740842,0.9133598637740842
Count_Police_Stations,external_amenities_index,0.9133598637740842,0.9133598637740842
LAX_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),0.9130537857194523,0.9130537857194523
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),0.9113540484317492,0.9113540484317492
TCL_Chinese_Theater_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),0.9082611645533125,0.9082611645533125
Madame_Tussauds_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),0.9081409695339219,0.9081409695339219
avg_landmark_distance_z,Universal_Studios_Hollywood_Median_Distance_June_(KM),0.9048332892183957,0.9048332892183957
centrality_index,Universal_Studios_Hollywood_Median_Distance_June_(KM),-0.9048332892183957,0.9048332892183957
avg_landmark_distance_z,Griffith_Park_Median_Distance_June_(KM),0.904608586920623,0.904608586920623
centrality_index,Griffith_Park_Median_Distance_June_(KM),-0.904608586920623,0.904608586920623
avg_landmark_distance_z,Getty_Center_Median_Distance_June_(KM),0.9021193135147488,0.9021193135147488
centrality_index,Getty_Center_Median_Distance_June_(KM),-0.9021193135147488,0.9021193135147488
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),0.900827369312528,0.900827369312528
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),0.8981842873393211,0.8981842873393211
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),0.8962452794390471,0.8962452794390471
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),0.8959814888824342,0.8959814888824342
Griffith_Park_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),0.8924052870436692,0.8924052870436692
LAX_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),0.89216200942664,0.89216200942664
Griffith_Park_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),0.8861719057978993,0.8861719057978993
Madame_Tussauds_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),0.8860448629403239,0.8860448629403239
TCL_Chinese_Theater_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),0.8859385803953156,0.8859385803953156
Hollywood_Sign_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),0.8805221208304542,0.8805221208304542
California_Science_Center_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),0.8779379079573262,0.8779379079573262
Madame_Tussauds_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),0.8738372722392517,0.8738372722392517
TCL_Chinese_Theater_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),0.8730080768591137,0.8730080768591137
Crypto_Arena_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),0.8699927278139505,0.8699927278139505
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),0.8683770643718811,0.8683770643718811
Madame_Tussauds_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),0.8642731510426531,0.8642731510426531
TCL_Chinese_Theater_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),0.8634440071113578,0.8634440071113578
Venice_Beach_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),0.8588016861530762,0.8588016861530762
LAX_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),0.8560364441608258,0.8560364441608258
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),0.8537979291576121,0.8537979291576121
Getty_Center_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),0.85153821194805,0.85153821194805
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),0.8480233222913436,0.8480233222913436
LAX_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),0.8369095494175536,0.8369095494175536
Griffith_Park_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),0.8354428105332387,0.8354428105332387
Universal_Studios_Hollywood_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),0.8343079172480162,0.8343079172480162
Griffith_Park_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),0.8298162482194597,0.8298162482194597
California_Science_Center_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),0.8279290123049206,0.8279290123049206
Crypto_Arena_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),0.8256310261833741,0.8256310261833741
California_Science_Center_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),0.8189765474450977,0.8189765474450977
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),0.8168153271958188,0.8168153271958188
LAX_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),0.8138428070290429,0.8138428070290429
Venice_Beach_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),0.8126346483327328,0.8126346483327328
Venice_Beach_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),0.8062323340839468,0.8062323340839468
LAX_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),0.8031790613632437,0.8031790613632437
LAX_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),0.8024033627357129,0.8024033627357129
Hollywood_Sign_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),0.8003441330949845,0.8003441330949845
